Surface,NbrPieces,NbrChambres,NbrSdb,Prix,Type_Appartement,Type_Maison,DPE_A (< 50),DPE_B (51 à 90),DPE_C (91 à 150),DPE_D (151 à 230),DPE_E (231 à 330),DPE_F (331 à 450),DPE_Vierge,latitude,longitude
130.0,5.0,3.0,1.308252427184466,150000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
130.0,5.0,3.0,1.308252427184466,150000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
73.0,4.0,2.0,1.0,225000,1,0,0,0,0,0,0,0,1,48.77621691,2.337698598
31.0,1.0,2.55125284738041,1.0,117000,1,0,0,0,0,0,0,0,1,48.26855397,3.259845097
90.0,5.0,3.0,1.0,233000,1,0,0,0,0,0,0,0,1,48.760790808,2.385495992
73.0,4.0,3.0,1.0,577000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
93.68913043478261,5.747300215982722,2.55125284738041,1.308252427184466,80000,0,1,0,0,0,0,0,0,1,48.831106067,2.012426837
46.0,2.0,1.0,1.0,165000,1,0,0,0,0,0,0,0,1,49.026361092,2.220661508
74.0,3.0,2.0,1.0,265000,1,0,0,0,0,0,0,0,1,47.167699142,1.756800232
52.0,3.0,2.0,1.0,160000,1,0,0,0,0,0,0,0,1,48.938717628,2.530589988
24.0,1.0,2.55125284738041,1.0,115000,1,0,0,0,0,0,0,0,1,48.26855397,3.259845097
318.0,5.747300215982722,2.55125284738041,1.308252427184466,900000,1,0,0,0,0,0,0,0,1,48.923469067,2.444562389
69.0,4.0,3.0,1.0,158000,1,0,0,0,0,0,0,0,1,48.955045923,2.313968877
76.0,4.0,3.0,1.0,259000,1,0,0,0,0,0,0,0,1,48.669432989,2.373359685
93.68913043478261,5.0,3.0,2.0,350000,1,0,0,0,0,0,0,0,1,48.806206275,2.438053127
100.0,4.0,2.0,1.0,240000,0,1,0,0,0,0,0,0,1,48.587355138,3.138417782
106.0,3.0,2.55125284738041,1.308252427184466,75008,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
84.0,5.0,3.0,1.0,334000,1,0,0,0,0,0,0,0,1,48.896168757,2.207090178
38.0,2.0,2.55125284738041,1.308252427184466,154000,1,0,0,0,0,0,0,0,1,49.007988385,2.403736201
33.0,1.0,2.55125284738041,1.308252427184466,149000,1,0,0,0,0,0,0,0,1,49.007988385,2.403736201
120.0,6.0,5.0,1.0,345000,0,1,0,0,0,0,0,0,1,48.919719465,-0.605313832
79.0,3.0,2.0,1.0,740000,1,0,0,0,0,0,0,0,1,48.847539205,2.437714989
80.0,4.0,3.0,1.0,240000,0,1,0,0,0,0,0,0,1,49.003563215,2.739419053
60.0,4.0,2.55125284738041,1.308252427184466,199000,0,1,0,0,0,0,0,0,1,49.051577748,2.094574042
40.0,2.0,1.0,1.0,660000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
36.0,2.0,1.0,1.0,119000,1,0,0,0,0,0,0,0,1,48.912490578,2.384529976
100.0,100.0,4.0,1.0,685000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
100.0,100.0,4.0,1.0,685000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
137.0,6.0,4.0,3.0,337000,0,1,0,0,0,0,0,0,1,49.13001014,2.263254667
65.0,3.0,2.0,1.0,235000,1,0,0,0,0,0,0,0,1,48.845661019,2.787101817
52.0,2.0,1.0,1.0,460000,1,0,0,0,0,0,0,0,1,48.749986765,2.299028344
35.0,35.0,2.0,1.0,135000,1,0,0,0,0,0,0,0,1,48.932264849,2.399334869
72.0,4.0,2.0,1.0,239000,1,0,0,0,0,0,0,0,1,48.67802178,2.223002267
76.0,4.0,3.0,1.0,189000,1,0,0,0,0,0,0,0,1,48.890767137,2.639890249
53.0,3.0,2.0,1.0,185000,1,0,0,0,0,0,0,0,1,48.788118568,2.394516098
53.0,3.0,2.0,1.0,185000,1,0,0,0,0,0,0,0,1,48.788118568,2.394516098
50.0,2.0,1.0,1.0,135000,0,1,0,0,0,0,0,0,1,48.565555122,2.920094677
93.68913043478261,5.747300215982722,2.55125284738041,1.308252427184466,215000,1,0,0,0,0,0,0,0,1,48.788118568,2.394516098
40.0,2.0,2.0,1.0,280000,1,0,0,0,0,0,0,0,1,48.883640381,2.238727624
134.0,5.0,3.0,2.0,450000,0,1,0,0,0,0,0,0,1,48.87491844,2.48590027
101.0,5.0,3.0,2.0,307000,1,0,0,0,0,0,0,0,1,48.87491844,2.48590027
